,address,area,beds,full_bathrooms,half_bathrooms,price
120,"2402 N 15TH Street, Phoenix, AZ 85006","2,031 sq.ft.",3 beds,2 ,,"$749,000"
121,"1611 W INDIANOLA Avenue, Phoenix, AZ 85015","2,198 sq.ft.",3 beds,2 ,,"$519,900"
122,"2740 N 21ST Drive, Phoenix, AZ 85009","1,810 sq.ft.",3 beds,2 ,,"$549,000"
123,"1914 E KINGS Avenue, Phoenix, AZ 85022","2,084 sq.ft.",4 beds,3 ,,"$508,000"
124,"1822 E PALMAIRE Avenue, Phoenix, AZ 85020","3,339 sq.ft.",4 beds,4 ,,"$1,600,000"
125,"921 W DESERT COVE Avenue, Phoenix, AZ 85029","1,056 sq.ft.",2 beds,2 ,,"$375,000"
126,"3825 E CAMELBACK Road 132, Phoenix, AZ 85018",749 sq.ft.,1 beds,1 ,,"$259,000"
127,"13618 N 18th Street, Phoenix, AZ 85022","1,732 sq.ft.",3 beds,,,"$597,500"
128,"31322 N 26TH Drive, Phoenix, AZ 85085","2,118 sq.ft.",4 beds,3 ,,"$580,000"
129,"13211 S 34TH Way, Phoenix, AZ 85044","5,541 sq.ft.",4 beds,6 ,,"$2,100,000"
130,"33431 N 24TH Drive, Phoenix, AZ 85085","2,152 sq.ft.",3 beds,2 ,,"$599,990"
131,"3023 E ONYX Avenue, Phoenix, AZ 85028","2,253 sq.ft.",3 beds,3 ,,"$944,900"
132,"5102 N 31ST Place 413, Phoenix, AZ 85016","1,032 sq.ft.",1 beds,1 ,,"$315,000"
133,"10624 N 7TH Place, Phoenix, AZ 85020","1,882 sq.ft.",3 beds,2 ,,"$590,000"
134,"15243 N 11TH Street, Phoenix, AZ 85022","2,448 sq.ft.",4 beds,3 ,,"$850,000"
135,"3128 E CHERYL Drive, Phoenix, AZ 85028","2,195 sq.ft.",4 beds,3 ,,"$695,000"
136,"2310 E SUNNYSIDE Drive, Phoenix, AZ 85028","2,148 sq.ft.",3 beds,2 ,,"$807,648"
